ID DRAW_TYPE DRAW_VALUE
86 NORMAL 1.075216
87 NORMAL 0.746334
88 NORMAL 0.740036
89 NORMAL 1.100531
90 NORMAL -0.432985
91 NORMAL -0.291415
92 NORMAL 0.954419
93 NORMAL -0.369893
94 NORMAL -0.092259
95 NORMAL 0.502448
96 NORMAL -0.444296
97 NORMAL 0.147730
98 NORMAL 0.232268
99 NORMAL 0.911737
100 NORMAL 0.685718
101 NORMAL 0.386987
102 NORMAL 0.044772
103 NORMAL 0.267711
104 NORMAL -0.159565
105 NORMAL 0.260860
106 NORMAL 1.183215
107 NORMAL -0.308124
108 NORMAL 0.369746
109 NORMAL 0.323499
110 NORMAL 0.279615
111 NORMAL -0.109367
112 NORMAL 0.565600
113 NORMAL -0.412805
114 NORMAL -0.190872
115 NORMAL 0.480518
116 NORMAL 0.145024
117 NORMAL -0.265449
118 NORMAL 0.474195
119 NORMAL -0.079588
120 NORMAL 0.099161
121 NORMAL 1.014993
122 NORMAL -0.057775
123 NORMAL -0.476069
124 NORMAL -0.303799
125 NORMAL 0.712184
126 NORMAL -0.189327
127 NORMAL -0.164351
128 NORMAL -0.393144
129 NORMAL 0.185753
130 NORMAL 0.281685
131 NORMAL 0.551954
132 NORMAL 0.275733
133 NORMAL 0.615153
134 NORMAL -0.277210
135 NORMAL -0.422898
136 NORMAL -0.410088
137 NORMAL -0.324276
138 NORMAL 0.262926
139 NORMAL -1.149989
140 NORMAL -0.233908
141 NORMAL -0.271223
142 NORMAL 0.548914
143 NORMAL 0.375745
144 NORMAL 0.821191
145 NORMAL 0.217971
146 NORMAL -0.460435
147 NORMAL -0.509016
148 NORMAL 0.102425
149 NORMAL 0.277517
150 NORMAL -0.265249
151 NORMAL 0.822531
152 NORMAL -0.020113
153 NORMAL -0.281091
154 NORMAL 0.126166
155 NORMAL -0.239587
156 NORMAL 0.838375
157 NORMAL -0.309866
158 NORMAL -0.056449
159 NORMAL -0.897870
160 NORMAL 0.134012
161 NORMAL -0.716324
162 NORMAL 0.103816
163 NORMAL 0.418538
164 NORMAL -0.982343
165 NORMAL -0.399107
166 NORMAL 0.687242
167 NORMAL -0.096683
168 NORMAL 0.456855
169 NORMAL 0.156708
170 NORMAL 0.599693
171 NORMAL 0.187321
172 NORMAL 0.602790
173 NORMAL 0.036168
174 NORMAL -0.328463
175 NORMAL 0.178035
176 NORMAL -0.590805
177 NORMAL -0.440336
178 NORMAL 0.408210
179 NORMAL -0.467663
180 NORMAL -0.516349
181 NORMAL -0.840444
182 NORMAL 0.870858
183 NORMAL 0.152154
184 NORMAL 0.521294
185 NORMAL 0.479247
186 NORMAL 0.364607
187 NORMAL 0.638720
188 NORMAL -0.348560
189 NORMAL 0.300390
190 NORMAL 0.396035
191 NORMAL -0.336791
192 NORMAL 0.022370
193 NORMAL 0.083028
194 NORMAL -0.572715
195 NORMAL 0.265707
196 NORMAL -1.315876
197 NORMAL 0.087405
198 NORMAL 0.237934
199 NORMAL 0.853476
200 NORMAL 0.159753
201 NORMAL -0.199014
202 NORMAL -0.099521
203 NORMAL -0.594742
204 NORMAL 0.320336
205 NORMAL 0.567035
206 NORMAL 0.441621
207 NORMAL 0.448183
208 NORMAL 0.446472
209 NORMAL 0.244237
210 NORMAL -0.470981
211 NORMAL -0.234223
212 NORMAL -0.753687
213 NORMAL -1.136657
214 NORMAL 0.406424
215 NORMAL 0.015351
216 NORMAL 0.097690
217 NORMAL -0.011959
218 NORMAL 0.593988
219 NORMAL -0.221106
220 NORMAL -0.174723
221 NORMAL 0.470572
222 NORMAL 0.098923
223 NORMAL -0.487869
224 NORMAL -0.682093
225 NORMAL 0.887347
226 NORMAL 0.441499
227 NORMAL -0.309559
228 NORMAL 0.908872
229 NORMAL -0.637138
230 NORMAL 0.632379
231 NORMAL 0.464604
232 NORMAL -0.009330
233 NORMAL 0.133690
234 NORMAL 0.039235
235 NORMAL -0.890012
236 NORMAL -0.164310
237 NORMAL -0.345595
238 NORMAL 0.964259
239 NORMAL 0.406747
240 NORMAL -0.007145
241 NORMAL 0.597987
242 NORMAL -0.108783
243 NORMAL 0.564790
244 NORMAL 1.208024
245 NORMAL -0.340253
246 NORMAL 0.533672
247 NORMAL -0.185765
248 NORMAL 0.863780
249 NORMAL 0.445839
250 NORMAL -0.237762
251 NORMAL 0.771275
252 NORMAL 1.030256
253 NORMAL -0.163696
254 NORMAL -0.158767
255 NORMAL 0.627022
256 NORMAL 0.598935
257 NORMAL 0.855270
258 NORMAL 0.231260
259 NORMAL 0.665957
260 NORMAL 0.390158
261 NORMAL -0.420246
262 NORMAL 0.004524
263 NORMAL -0.120596
264 NORMAL 0.860923
265 NORMAL -0.032469
266 NORMAL -0.192951
267 NORMAL 0.672802
268 NORMAL 0.314924
269 NORMAL 0.693620
270 NORMAL 1.250401
271 NORMAL 0.020182
272 NORMAL -0.137758
273 NORMAL -0.354681
274 NORMAL 0.139120
275 NORMAL -0.427532
276 NORMAL -0.338760
277 NORMAL -0.214533
278 NORMAL -0.016575
279 NORMAL 0.056195
280 NORMAL 0.212014
281 NORMAL -0.315117
282 NORMAL 0.516916
283 NORMAL -0.482025
284 NORMAL -0.930181
285 NORMAL 0.509158
286 NORMAL -0.418607
287 NORMAL 0.396783
288 NORMAL 0.217421
289 NORMAL 0.183081
290 NORMAL 0.102670
291 NORMAL -0.089248
292 NORMAL 0.204311
293 NORMAL 0.625659
294 NORMAL -0.180932
295 NORMAL -0.143141
296 NORMAL -0.497006
297 NORMAL 1.043358
298 NORMAL 0.535429
299 NORMAL -0.483554
300 NORMAL -0.145864
301 NORMAL -0.429363
302 NORMAL 0.561292
303 NORMAL 0.268228
304 NORMAL 0.101215
305 NORMAL -0.258865
306 NORMAL -0.981230
307 NORMAL 0.179337
308 NORMAL 0.046295
309 NORMAL -0.633164
310 NORMAL 0.259126
311 NORMAL 0.349536
312 NORMAL 0.049785
313 NORMAL 0.163998
314 NORMAL -0.326684
315 NORMAL -0.557615
316 NORMAL -0.198907
317 NORMAL 0.027612
318 NORMAL 0.316301
319 NORMAL -0.544945
320 NORMAL 0.519955
321 NORMAL 0.401132
322 NORMAL -0.209508
323 NORMAL -0.126637
324 NORMAL 0.277984
325 NORMAL -0.547161
326 NORMAL 0.512619
327 NORMAL 0.332819
328 NORMAL -0.552287
329 NORMAL -0.225209
330 NORMAL -0.250409
331 NORMAL -0.079665
332 NORMAL 0.195575
333 NORMAL 0.859133
334 NORMAL 0.034743
335 NORMAL -0.035299
336 NORMAL -0.152100
337 NORMAL -0.643981
338 NORMAL -0.845809
339 NORMAL -0.246063
340 NORMAL 0.863353
341 NORMAL 0.163807
342 NORMAL -0.538244
343 NORMAL 0.255858
344 NORMAL 0.423999
345 NORMAL 0.311981
346 NORMAL -0.108860
347 NORMAL 0.166428
348 NORMAL -0.073350
349 NORMAL 0.318025
350 NORMAL 0.757522
351 NORMAL -1.099694
352 NORMAL -0.091087
353 NORMAL 0.417149
354 NORMAL -0.307057
355 NORMAL -0.446937
356 NORMAL -1.096051
357 NORMAL -0.183781
358 NORMAL 0.345827
359 NORMAL -0.318751
360 NORMAL 0.366964
361 NORMAL -0.585874
362 NORMAL 0.418277
363 NORMAL 0.597074
364 NORMAL 0.055819
365 NORMAL 0.334972
366 NORMAL -0.453155
367 NORMAL 0.377077
368 NORMAL -0.324949
369 NORMAL -0.259154
370 NORMAL 0.968841
371 NORMAL 0.328101
372 NORMAL 1.212870
373 NORMAL 0.135311
374 NORMAL -0.171453
375 NORMAL 0.754214
376 NORMAL 0.159958
377 NORMAL 0.084687
378 NORMAL 1.279500
379 NORMAL 0.451942
380 NORMAL -0.207207
381 NORMAL 0.026200
382 NORMAL 0.551629
383 NORMAL 0.655066
384 NORMAL 0.206211
385 NORMAL 0.255478
386 NORMAL 0.920348
387 NORMAL 0.376393
388 NORMAL 0.683080
389 NORMAL 0.426135
390 NORMAL 0.217462
391 NORMAL -0.451769
392 NORMAL 0.525190
393 NORMAL -0.130937
394 NORMAL 0.026793
395 NORMAL 0.128801
396 NORMAL 0.346754
397 NORMAL 0.186811
398 NORMAL 0.672145
399 NORMAL 0.036292
400 NORMAL 0.854873
401 NORMAL -0.153214
402 NORMAL -0.041713
403 NORMAL 0.481269
404 NORMAL 0.797711
405 NORMAL -0.331347
406 NORMAL 0.047887
407 NORMAL 1.198055
408 NORMAL -1.244163
409 NORMAL 1.004271
410 NORMAL 0.375084
411 NORMAL 0.014003
412 NORMAL 0.290051
413 NORMAL 0.375507
414 NORMAL -0.577903
415 NORMAL 0.177695
416 NORMAL -0.693102
417 NORMAL -0.525258
418 NORMAL -0.289261
419 NORMAL 0.365275
420 NORMAL -0.077539
421 NORMAL -0.369630
422 NORMAL -0.050084
423 NORMAL 0.025617
424 NORMAL 0.455832
425 NORMAL -0.835788
426 NORMAL 0.517021
427 NORMAL 0.425880
428 NORMAL 1.035829
429 NORMAL -0.633426
430 NORMAL 0.848663
431 NORMAL -0.503614
432 NORMAL -0.628010
433 NORMAL 0.807389
434 NORMAL 0.368693
435 NORMAL 0.234017
436 NORMAL -0.009975
437 NORMAL 0.013052
438 NORMAL 0.631585
439 NORMAL 0.611358
440 NORMAL 1.076865
441 NORMAL -0.173594
442 NORMAL 0.081742
443 NORMAL 0.213274
444 NORMAL -0.287300
445 NORMAL 0.619760
446 NORMAL 0.038400
447 NORMAL -0.111376
448 NORMAL -0.230549
449 NORMAL 0.175719
450 NORMAL 0.236945
451 NORMAL -0.014164
452 NORMAL 0.825262
453 NORMAL 0.036605
454 NORMAL 0.048768
455 NORMAL 0.454233
456 NORMAL -0.319614
457 NORMAL -0.277584
458 NORMAL -0.288958
459 NORMAL -0.214719
460 NORMAL 0.557253
461 NORMAL 0.033312
462 NORMAL -0.214383
463 NORMAL -0.307609
464 NORMAL 0.236362
465 NORMAL 0.447045
466 NORMAL -0.186775
467 NORMAL 0.645180
468 NORMAL -0.277362
469 NORMAL 0.276234
470 NORMAL 0.148524
471 NORMAL 0.414815
472 NORMAL 0.244929
473 NORMAL -0.445867
474 NORMAL 0.039037
475 NORMAL 0.883911
476 NORMAL -0.653848
477 NORMAL -0.389503
478 NORMAL 0.823440
479 NORMAL 0.232960
480 NORMAL 0.178567
481 NORMAL 0.431452
482 NORMAL -0.709763
483 NORMAL -0.371326
484 NORMAL 0.557639
485 NORMAL 0.184259
486 NORMAL 0.130351
487 NORMAL -0.179880
488 NORMAL 0.341535
489 NORMAL 0.075530
490 NORMAL 0.424581
491 NORMAL 0.246625
492 NORMAL -0.187428
493 NORMAL 0.075999
494 NORMAL -0.651076
495 NORMAL 0.756123
496 NORMAL 0.528132
497 NORMAL 0.833728
498 NORMAL -0.356367
499 NORMAL 1.313423
500 NORMAL 0.337445
501 NORMAL 0.113731
502 NORMAL -0.195076
503 NORMAL 0.148507
504 NORMAL -0.263697
505 NORMAL 0.205223
506 NORMAL 0.251118
507 NORMAL -0.273451
508 NORMAL -0.877120
509 NORMAL -1.021713
510 NORMAL 0.410205
511 NORMAL 0.440425
512 NORMAL 0.433887
513 NORMAL 0.703368
514 NORMAL 1.432249
515 NORMAL -0.010113
516 NORMAL 0.294225
517 NORMAL -0.061080
518 NORMAL -0.319353
519 NORMAL -0.042967
520 NORMAL -0.208431
521 NORMAL 0.005646
522 NORMAL 0.630142
523 NORMAL 0.231605
524 NORMAL 0.650178
525 NORMAL -0.008833
526 NORMAL -0.093664
527 NORMAL 0.086989
528 NORMAL -0.353450
529 NORMAL -0.824510
530 NORMAL 0.263295
531 NORMAL 0.632737
532 NORMAL 0.498942
533 NORMAL 0.171115
534 NORMAL -0.030630
535 NORMAL 0.976953
536 NORMAL -0.021429
537 NORMAL 0.074331
538 NORMAL -0.415702
539 NORMAL -0.910882
540 NORMAL 0.108080
541 NORMAL -0.002877
542 NORMAL 1.914611
543 NORMAL 0.753486
544 NORMAL -0.097934
545 NORMAL -0.211336
546 NORMAL 0.518436
547 NORMAL 0.273314
548 NORMAL -0.790700
549 NORMAL 0.169380
550 NORMAL 0.729261
551 NORMAL 0.537537
552 NORMAL 0.278073
553 NORMAL -0.110241
554 NORMAL -0.251545
555 NORMAL 0.462465
556 NORMAL 0.901012
557 NORMAL 0.749791
558 NORMAL 0.280279
559 NORMAL 0.617711
560 NORMAL -0.253383
561 NORMAL 0.132695
562 NORMAL -0.111830
563 NORMAL -0.607315
564 NORMAL 0.169650
565 NORMAL 0.854894
566 NORMAL 0.058573
567 NORMAL -0.266734
568 NORMAL 0.494639
569 NORMAL -0.051623
570 NORMAL 0.005977
571 NORMAL -0.161553
572 NORMAL 0.047854
573 NORMAL -0.161337
574 NORMAL -0.124375
575 NORMAL 0.589655
576 NORMAL -0.442191
577 NORMAL -0.588829
578 NORMAL 0.290115
579 NORMAL -0.627541
580 NORMAL -0.346761
581 NORMAL 0.076431
582 NORMAL 0.028504
583 NORMAL 0.598021
584 NORMAL -0.707040
585 NORMAL -0.554498
586 NORMAL 0.598402
587 NORMAL -0.412621
588 NORMAL 0.125162
589 NORMAL 0.046017
590 NORMAL 0.251767
591 NORMAL -0.282301
592 NORMAL -0.600366
593 NORMAL 0.194753
594 NORMAL 0.414097
595 NORMAL 0.789936
596 NORMAL 0.884972
597 NORMAL -0.149039
598 NORMAL 0.874754
599 NORMAL 0.102903
600 NORMAL 0.200242
601 NORMAL 0.039647
602 NORMAL 0.131528
603 NORMAL 0.166799
604 NORMAL -0.049842
605 NORMAL 0.239785
606 NORMAL -0.434359
607 NORMAL -0.948605
608 NORMAL 0.806401
609 NORMAL 0.096442
610 NORMAL 0.714285
611 NORMAL -0.007940
612 NORMAL 0.234195
613 NORMAL 0.401410
614 NORMAL 0.363070
615 NORMAL 0.565786
616 NORMAL 0.571546
617 NORMAL 0.930576
618 NORMAL -0.584225
619 NORMAL 0.664625
620 NORMAL 0.055111
621 NORMAL 0.489637
622 NORMAL -0.126191
623 NORMAL 0.557093
624 NORMAL 0.169958
625 NORMAL -0.018934
626 NORMAL 0.418010
627 NORMAL 0.305797
628 NORMAL 0.005894
629 NORMAL 0.110086
630 NORMAL 0.457312
631 NORMAL 0.121520
632 NORMAL 0.092966
633 NORMAL 0.312111
634 NORMAL -0.007743
635 NORMAL 0.028114
636 NORMAL 0.511536
637 NORMAL -0.024496
638 NORMAL -0.776087
639 NORMAL -0.676170
640 NORMAL 0.055781
641 NORMAL -0.392385
642 NORMAL -0.153949
643 NORMAL -0.356812
644 NORMAL 0.283196
645 NORMAL -1.116374
646 NORMAL 0.262145
647 NORMAL -0.181130
648 NORMAL 0.338886
649 NORMAL 0.005625
650 NORMAL 0.007432
651 NORMAL 1.038115
652 NORMAL -0.134035
653 NORMAL -0.107404
654 NORMAL 0.005031
655 NORMAL 0.024567
656 NORMAL 0.141314
657 NORMAL 0.079690
658 NORMAL 0.358110
659 NORMAL 1.215897
660 NORMAL 1.114586
661 NORMAL 0.269315
662 NORMAL -0.031150
663 NORMAL 0.728715
664 NORMAL 0.517156
665 NORMAL 0.080086
666 NORMAL -0.680791
667 NORMAL 0.213328
668 NORMAL 0.015928
669 NORMAL 0.179112
670 NORMAL 0.401478
671 NORMAL 0.127617
672 NORMAL 0.208345
673 NORMAL -0.223960
674 NORMAL 0.593072
675 NORMAL -0.445143
676 NORMAL 1.321996
677 NORMAL 0.074805
678 NORMAL 0.664206
679 NORMAL 0.331799
680 NORMAL -0.785262
681 NORMAL 0.981612
682 NORMAL -0.109499
683 NORMAL 0.064460
684 NORMAL 0.320107
685 NORMAL -0.354487
686 NORMAL -0.070642
687 NORMAL 0.458755
688 NORMAL -0.045040
689 NORMAL 0.459920
690 NORMAL 0.692733
691 NORMAL 1.180904
692 NORMAL 1.034617
693 NORMAL 0.094195
694 NORMAL 0.743611
695 NORMAL 0.455195
696 NORMAL -0.311517
697 NORMAL -0.102677
698 NORMAL 0.533983
699 NORMAL -0.189559
700 NORMAL 0.331645
701 NORMAL -0.333605
702 NORMAL 0.080017
703 NORMAL 0.170119
704 NORMAL -0.515525
705 NORMAL 0.112700
706 NORMAL 0.674840
707 NORMAL -0.279798
708 NORMAL 0.291919
709 NORMAL -0.340168
710 NORMAL 0.787633
711 NORMAL 0.139424
712 NORMAL 0.183433
713 NORMAL -0.374187
714 NORMAL -0.347041
715 NORMAL 0.004796
716 NORMAL 0.691557
717 NORMAL 1.141954
718 NORMAL -0.162042
719 NORMAL 0.452427
720 NORMAL 0.235406
721 NORMAL 0.301568
722 NORMAL -0.023292
723 NORMAL -0.007776
724 NORMAL -0.697580
725 NORMAL 0.778507
726 NORMAL 1.057521
727 NORMAL -0.588441
728 NORMAL 0.939419
729 NORMAL 0.885679
730 NORMAL 0.128203
731 NORMAL -0.924073
732 NORMAL 0.654799
733 NORMAL 0.093925
734 NORMAL 0.031357
735 NORMAL -0.017380
736 NORMAL -0.742229
737 NORMAL -0.845293
738 NORMAL 0.312755
739 NORMAL 0.562590
740 NORMAL 0.064930
741 NORMAL 0.254549
742 NORMAL 0.519671
743 NORMAL 0.354832
744 NORMAL 0.227296
745 NORMAL 0.748955
746 NORMAL 0.075734
747 NORMAL -0.167899
748 NORMAL 0.748927
749 NORMAL -0.410554
750 NORMAL 0.554419
751 NORMAL 0.100559
752 NORMAL 0.159646
753 NORMAL 0.038600
754 NORMAL -0.194175
755 NORMAL -0.285061
756 NORMAL -0.335965
757 NORMAL 0.161344
758 NORMAL -0.088841
759 NORMAL -0.648352
760 NORMAL 0.441681
761 NORMAL -0.358810
762 NORMAL 0.104857
763 NORMAL 0.586485
764 NORMAL -0.103048
765 NORMAL 0.970655
766 NORMAL -0.403120
767 NORMAL -0.407548
768 NORMAL 0.620932
769 NORMAL 0.135613
770 NORMAL -0.099655
771 NORMAL 0.229073
772 NORMAL -0.068941
773 NORMAL -0.137023
774 NORMAL -0.197264
775 NORMAL -0.324710
776 NORMAL 0.659027
777 NORMAL -0.140006
778 NORMAL 0.647623
779 NORMAL 0.513532
780 NORMAL 0.134899
781 NORMAL 0.481914
782 NORMAL -0.498305
783 NORMAL 0.348536
784 NORMAL 0.195684
785 NORMAL -0.023218
786 NORMAL 0.564043
787 NORMAL 0.448947
788 NORMAL 0.175922
789 NORMAL 0.208381
790 NORMAL -0.058745
791 NORMAL 0.572189
792 NORMAL -0.234924
793 NORMAL 0.337482
794 NORMAL -0.110385
795 NORMAL 0.671416
796 NORMAL 0.800334
797 NORMAL 0.166223
798 NORMAL 0.141032
799 NORMAL -0.110793
800 NORMAL -0.237260
801 NORMAL 0.562674
802 NORMAL 0.061292
803 NORMAL 0.211661
804 NORMAL 0.508012
805 NORMAL -0.262235
806 NORMAL 0.412686
807 NORMAL 0.816698
808 NORMAL -0.126666
809 NORMAL 1.182620
810 NORMAL 0.280018
811 NORMAL 1.209872
812 NORMAL 0.735834
813 NORMAL 0.160730
814 NORMAL -0.923391
815 NORMAL -0.001189
816 NORMAL 0.265638
817 NORMAL -0.258621
818 NORMAL -0.036434
819 NORMAL 0.624687
820 NORMAL -0.145347
821 NORMAL -0.079935
822 NORMAL 0.306161
823 NORMAL -0.570290
824 NORMAL 0.471031
825 NORMAL -0.180468
826 NORMAL -0.028272
827 NORMAL -0.340882
828 NORMAL -0.080318
829 NORMAL -0.109357
830 NORMAL 1.147988
831 NORMAL -0.396968
832 NORMAL 0.504830
833 NORMAL -0.591306
834 NORMAL 0.699569
835 NORMAL 0.769549
836 NORMAL 0.441467
837 NORMAL 0.014280
838 NORMAL 0.151607
839 NORMAL 0.227744
840 NORMAL 0.098705
841 NORMAL -0.292964
842 NORMAL 0.092975
843 NORMAL 0.886307
844 NORMAL 0.320472
845 NORMAL -0.233571
846 NORMAL -0.681412
847 NORMAL 0.071830
848 NORMAL 0.411088
849 NORMAL 0.408996
850 NORMAL -0.044917
851 NORMAL 0.313436
852 NORMAL -0.324871
853 NORMAL 0.691904
854 NORMAL 0.624469
855 NORMAL 1.025995
856 NORMAL 0.084046
857 NORMAL 0.441584
858 NORMAL 0.560492
859 NORMAL 0.792213
860 NORMAL 0.568530
861 NORMAL -0.289715
862 NORMAL 0.260911
863 NORMAL 0.565145
864 NORMAL 0.365803
865 NORMAL 0.518052
866 NORMAL 0.172716
867 NORMAL -0.420830
868 NORMAL 0.479758
869 NORMAL 0.408627
870 NORMAL 0.331846
871 NORMAL -0.110810
872 NORMAL 1.073848
873 NORMAL 0.300721
874 NORMAL -0.151002
875 NORMAL 0.426781
876 NORMAL -0.086972
877 NORMAL 0.539720
878 NORMAL -0.716751
879 NORMAL -0.238786
880 NORMAL -0.122454
881 NORMAL 0.446528
882 NORMAL -0.142004
883 NORMAL 0.449572
884 NORMAL -0.312030
885 NORMAL -0.405544
886 NORMAL 0.068819
887 NORMAL 0.876948
888 NORMAL -0.130547
889 NORMAL 0.056352
890 NORMAL -0.124791
891 NORMAL 0.347896
892 NORMAL -0.817898
893 NORMAL 1.015736
894 NORMAL 0.262897
895 NORMAL 0.363038
896 NORMAL 0.183903
897 NORMAL -0.641606
898 NORMAL 0.419721
899 NORMAL 0.822577
900 NORMAL 0.442006
901 NORMAL -0.350263
902 NORMAL 0.868416
903 NORMAL 0.441645
904 NORMAL -0.556232
905 NORMAL -0.296135
906 NORMAL 0.305437
907 NORMAL 0.859644
908 NORMAL 0.794095
909 NORMAL 0.161761
910 NORMAL 0.002454
911 NORMAL -0.486828
912 NORMAL 0.462231
913 NORMAL -0.393004
914 NORMAL -0.244272
915 NORMAL 0.618800
916 NORMAL -0.117574
917 NORMAL -0.054630
918 NORMAL -0.153881
919 NORMAL 0.275454
920 NORMAL 0.545276
921 NORMAL -0.187469
922 NORMAL 0.954127
923 NORMAL 0.110593
924 NORMAL 0.000447
925 NORMAL -0.978706
926 NORMAL -0.064478
927 NORMAL 0.154774
928 NORMAL 0.866435
929 NORMAL 0.195336
930 NORMAL -0.340472
931 NORMAL -0.280665
932 NORMAL -0.060660
933 NORMAL 0.803069
934 NORMAL -0.549404
935 NORMAL 0.678033
936 NORMAL 0.628103
937 NORMAL 0.591689
938 NORMAL -0.474648
939 NORMAL 0.528891
940 NORMAL 0.397616
941 NORMAL -0.116624
942 NORMAL 0.876087
943 NORMAL 0.697753
944 NORMAL -0.142697
945 NORMAL 0.173412
946 NORMAL -0.172588
947 NORMAL 0.333763
948 NORMAL -1.074239
949 NORMAL -0.169356
950 NORMAL -0.985985
951 NORMAL 0.135303
952 NORMAL -0.231483
953 NORMAL -0.460575
954 NORMAL -0.483500
955 NORMAL 0.432635
956 NORMAL 0.560619
957 NORMAL 0.312369
958 NORMAL -0.066145
959 NORMAL 0.259784
960 NORMAL -0.544927
961 NORMAL -0.124217
962 NORMAL 0.033544
963 NORMAL 0.127157
964 NORMAL -0.927479
965 NORMAL -0.317058
966 NORMAL -0.285945
967 NORMAL 0.546739
968 NORMAL 1.125330
969 NORMAL -0.252888
970 NORMAL -0.140341
971 NORMAL 0.020854
972 NORMAL -0.005709
973 NORMAL 1.074057
974 NORMAL -0.356320
975 NORMAL -0.775624
976 NORMAL 0.465532
977 NORMAL 1.631554
978 NORMAL 0.098203
979 NORMAL 0.718669
980 NORMAL 0.304181
981 NORMAL 0.560609
982 NORMAL 0.197656
983 NORMAL 0.108628
984 NORMAL 0.020711
985 NORMAL -0.918760
986 NORMAL 0.083570
987 NORMAL 0.284159
988 NORMAL -0.172314
989 NORMAL 0.489441
990 NORMAL 0.475266
991 NORMAL -0.080497
992 NORMAL 0.520714
993 NORMAL 0.158072
994 NORMAL 0.377173
995 NORMAL -0.261247
996 NORMAL 0.290024
997 NORMAL -0.171517
998 NORMAL -0.302655
999 NORMAL 0.514745
1000 NORMAL 0.544832
1001 NORMAL 0.190924
1002 NORMAL 0.136909
1003 NORMAL -0.203185
1004 NORMAL -0.739800
1005 NORMAL 1.075382
1006 NORMAL -0.918886
1007 NORMAL -0.720426
1008 NORMAL -0.089577
1009 NORMAL -0.223341
1010 NORMAL -0.045992
1011 NORMAL 0.003744
1012 NORMAL -0.086202
1013 NORMAL 0.499547
1014 NORMAL 0.708987
1015 NORMAL 0.343835
1016 NORMAL 0.435812
1017 NORMAL 0.775584
1018 NORMAL 0.679622
1019 NORMAL 1.280460
1020 NORMAL -0.244242
1021 NORMAL 0.096382
1022 NORMAL -0.528329
1023 NORMAL 0.321852
1024 NORMAL -0.282588
1025 NORMAL 0.159278
1026 NORMAL 0.077992
1027 NORMAL -0.065563
1028 NORMAL -0.538368
1029 NORMAL 0.667476
1030 NORMAL -0.719697
1031 NORMAL -0.323853
1032 NORMAL 0.061447
1033 NORMAL 0.242421
1034 NORMAL -0.387341
1035 NORMAL 0.709979
1036 NORMAL 0.249075
1037 NORMAL -0.558449
1038 NORMAL 0.092951
1039 NORMAL 0.629203
1040 NORMAL 1.215952
1041 NORMAL 1.273768
1042 NORMAL 0.509225
1043 NORMAL 0.503849
1044 NORMAL -0.058350
1045 NORMAL -0.623988
1046 NORMAL 0.402348
1047 NORMAL 0.329529
1048 NORMAL -0.947928
1049 NORMAL 0.648353
1050 NORMAL -0.164676
1051 NORMAL -0.043670
1052 NORMAL -0.313890
1053 NORMAL -0.195520
1054 NORMAL -0.752174
1055 NORMAL 0.302685
1056 NORMAL 0.243466
1057 NORMAL 0.268476
1058 NORMAL 0.479575
1059 NORMAL 0.029639
1060 NORMAL -0.251846
1061 NORMAL -0.447256
1062 NORMAL -0.352143
1063 NORMAL -0.282639
1064 NORMAL 0.181094
1065 NORMAL 0.369006
1066 NORMAL 0.212319
1067 NORMAL 0.335672
